Species,EPU,YEAR,MeanCond,nCond,n
Acadian redfish,GB,1992,1.0185083203550995,9,26
Acadian redfish,GB,1993,1.01649152809394,19,26
Acadian redfish,GB,1994,0.9926273132282633,14,26
Acadian redfish,GB,1995,1.050752152957155,15,26
Acadian redfish,GB,1996,1.0706055072814573,3,26
Acadian redfish,GB,1997,0.9764394859614747,29,26
Acadian redfish,GB,1999,0.9815366104531449,21,26
Acadian redfish,GB,2002,0.9409006651872822,4,26
Acadian redfish,GB,2003,1.0687172995795486,9,26
Acadian redfish,GB,2004,0.9780470490558976,19,26
Acadian redfish,GB,2005,1.0673280408103671,5,26
Acadian redfish,GB,2007,0.9293109106081997,3,26
Acadian redfish,GB,2008,0.939462448274516,6,26
Acadian redfish,GB,2010,0.9580141641778716,19,26
Acadian redfish,GB,2011,1.0256226747220245,15,26
Acadian redfish,GB,2012,0.9537156471929068,6,26
Acadian redfish,GB,2013,0.9525784485653299,56,26
Acadian redfish,GB,2014,0.9978577401527311,7,26
Acadian redfish,GB,2015,1.0801177101860386,19,26
Acadian redfish,GB,2016,0.9877197438330013,43,26
Acadian redfish,GB,2017,0.9042315216819937,7,26
Acadian redfish,GB,2018,0.9704310653125439,42,26
Acadian redfish,GB,2019,0.9581440504486066,21,26
Acadian redfish,GB,2021,1.0886911032061521,9,26
Acadian redfish,GB,2022,1.0107458254499246,12,26
Acadian redfish,GB,2023,0.9463679593802997,21,26
Acadian redfish,GOM,1992,0.9782258564871305,238,31
Acadian redfish,GOM,1993,0.9944864242932069,334,31
Acadian redfish,GOM,1994,0.9596411796990689,310,31
Acadian redfish,GOM,1995,0.9561726430487872,310,31
Acadian redfish,GOM,1996,0.9949069467706648,422,31
Acadian redfish,GOM,1997,0.9925052943539178,446,31
Acadian redfish,GOM,1998,1.034187040613549,425,31
Acadian redfish,GOM,1999,0.9875007841513352,529,31
Acadian redfish,GOM,2000,0.9856285728429123,375,31
Acadian redfish,GOM,2001,0.9343495679947577,442,31
Acadian redfish,GOM,2002,0.9350336058928851,463,31
Acadian redfish,GOM,2003,0.9401489680897276,477,31
Acadian redfish,GOM,2004,0.9571746771871625,680,31
Acadian redfish,GOM,2005,0.9296796468009828,647,31
Acadian redfish,GOM,2006,0.9501987717971152,738,31
Acadian redfish,GOM,2007,0.9650715273913975,611,31
Acadian redfish,GOM,2008,0.9229100732205374,790,31
Acadian redfish,GOM,2009,0.9523778369248257,787,31
Acadian redfish,GOM,2010,0.9516787279768142,695,31
Acadian redfish,GOM,2011,0.9528224209708053,735,31
Acadian redfish,GOM,2012,0.9590225759367135,943,31
Acadian redfish,GOM,2013,0.9533397897668408,694,31
Acadian redfish,GOM,2014,0.9579274900873714,769,31
Acadian redfish,GOM,2015,0.964259864983685,777,31
Acadian redfish,GOM,2016,0.9545202066401325,756,31
Acadian redfish,GOM,2017,0.9384206049108835,242,31
Acadian redfish,GOM,2018,0.9589740964485554,496,31
Acadian redfish,GOM,2019,0.9612075411510008,585,31
Acadian redfish,GOM,2021,0.9781904280086477,619,31
Acadian redfish,GOM,2022,0.9561904986211285,398,31
Acadian redfish,GOM,2023,0.9588504581067129,382,31
Acadian redfish,SS,1992,1.0023138625111259,86,30
Acadian redfish,SS,1993,1.0176328083194148,70,30
Acadian redfish,SS,1994,1.0150534958136028,101,30
Acadian redfish,SS,1995,0.9838806287546453,102,30
Acadian redfish,SS,1996,1.0537791489014878,55,30
Acadian redfish,SS,1997,1.0358442625711752,54,30
Acadian redfish,SS,1998,1.0492976131604255,81,30
Acadian redfish,SS,1999,1.0205117601429752,25,30
Acadian redfish,SS,2000,0.9698691122806056,88,30
Acadian redfish,SS,2001,0.9708732083651725,90,30
Acadian redfish,SS,2002,1.0197505319065585,50,30
Acadian redfish,SS,2003,0.9910196999892893,81,30
Acadian redfish,SS,2004,0.9965312698599814,98,30
Acadian redfish,SS,2005,0.982598562150759,73,30
Acadian redfish,SS,2006,0.9602445641091328,91,30
Acadian redfish,SS,2007,1.0015047850888879,76,30
Acadian redfish,SS,2008,0.9675966459695642,101,30
Acadian redfish,SS,2009,1.0086750526234989,78,30
Acadian redfish,SS,2010,0.9733814924124271,93,30
Acadian redfish,SS,2011,0.9779352890193362,30,30
Acadian redfish,SS,2012,0.9871253068528104,158,30
Acadian redfish,SS,2013,0.9999698655594681,116,30
Acadian redfish,SS,2014,0.9574872630725223,54,30
Acadian redfish,SS,2015,1.0426056832154622,139,30
Acadian redfish,SS,2016,0.9918800648629417,101,30
Acadian redfish,SS,2017,0.9752696626012289,35,30
Acadian redfish,SS,2019,0.9649075872471078,60,30
Acadian redfish,SS,2021,1.0265176755022347,143,30
Acadian redfish,SS,2022,1.0000582557849573,74,30
Acadian redfish,SS,2023,0.9666941061340355,50,30
American plaice,GB,1992,1.0546843729329214,18,27
American plaice,GB,1993,1.1180631110340824,20,27
American plaice,GB,1994,1.110953072970749,21,27
American plaice,GB,1995,1.011899993364206,14,27
